회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
유니닥스㈜,유니닥스㈜ AI개발자 장애인채용 전형,회사내규에 따름,경력무관,대졸(2~3년),주5일,서울 구로구,2025-04-25,2025-04-11,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,AI개발자
㈜차카다,"네이버,구글 SEO 연구원 채용 (RPA 개발)",월급 400 만원 ~ 500 만원,경력3년,대졸(2~3년),주5일,서울 송파구  등,2025-04-30,2025-04-11,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,RPA 개발
㈜차카다,"네이버, RPA 개발 신입/경력자 채용",월급 300 만원 ~ 500 만원,신입/경력,대졸(2~3년),주5일,서울 송파구  등,2025-04-30,2025-04-11,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,RPA 개발
주식회사 모빌리티랩 (MOBILITY LAB Inc.),C++개발자 모집,"연봉 5,000 만원 ~ 12,000 만원",경력3년,,주5일,경기도 안산시 상록구,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,C++개발자
주식회사 알엑스오,[RXO주식회사] 프로젝트 개발자 모집,월급 210 만원 ~ 245 만원,경력무관,학력무관,주5일,광주광역시 남구 도시첨단산업6로,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜신지모루,[경력] 전산개발 담당자 채용,"연봉 3,600 만원 ~ 3,600 만원",경력3년,대졸(2~3년),주5일,서울 마포구,2025-05-11,2025-04-11,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
"주식회사 지에이티엘 (GATL Co.,ltd.)",PLC 능력자 및 배우실분 모집합니다,"연봉 4,000 만원 ~ 6,000 만원",경력10년,학력무관,주6일,경기도 김포시 황금로89번길,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,HW/제어개발자
㈜신안정보통신,"응용프로그래머(C, C++,C#) 경력 모집",회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 서초구,2025-04-27,2025-04-11,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,소프트웨어 개발
인에이블다온소프트,[인에이블다온소프트] 백엔드 개발자 모집(경력),회사내규에 따름,경력5년,학력무관,주5일,서울 용산구,2025-06-10,2025-04-11,D-60,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
엔아이티서비스㈜,[NAVER Cloud 자회사] NIT Service 2025 상반...,회사내규에 따름,신입/경력,학력무관,,경기 성남시 분당구 등,2025-04-25,2025-04-11,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
유비벨록스㈜,유비벨록스 2025년도 분야별 인원모집,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 구로구,2025-04-30,2025-04-11,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)발해에프유테크,AI 기반 시스템 개발 백엔드 경력 채용,"연봉 5,000 만원 이상",경력5년,학력무관,주5일,서울특별시 강남구 언주로87길,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 이노테크솔루션,소프트웨어 개발자 모집합니다,월급 400 만원 이상,경력3년,학력무관,주5일,경상남도 창원시 의창구,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜다우기술,㈜다우기술 경력ㆍ신입 대규모 인재 영입,회사내규에 따름,신입/경력,대졸(2~3년),,경기 성남시 수정구 등,2025-04-21,2025-04-11,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 잇뉴,[제주]플랫폼운영팀 개발자 채용 공고,"연봉 3,400 만원 이상",경력4년,학력무관,주5일,제주특별자치도 제주시 첨단로,2025-06-09,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
다이나로직,펌웨어 소프트웨어 / 하드웨어 카메라 개발자,"연봉 2,900 만원 ~ 3,500 만원",경력1년,학력무관,주5일,경기도 부천시 오정구,2025-06-09,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사포밸류소프트,프로그램개발자 경력사원모집(정규직),"연봉 5,000 만원 이상",경력6년,"대졸(2~3년)
														 ~ 석사",주5일,서울특별시 강남구 논현로,2025-06-09,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 테크밸리시스템,자바 개발자 채용 - 도약장려금,"연봉 3,000 만원 이상",신입,"대졸(4년)
														 ~ 석사",주5일,서울특별시 금천구 가산디지털1로,2025-06-08,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
에이치엠케이홀딩스㈜,HMK홀딩스㈜ 부문별 대규모 인재 채용,회사내규에 따름,경력,학력무관,,서울 강남구,등록일 : 2025-04-10,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 알음에이이 (AR ・ EUM-ae),(주)알음에이이_AI 헬스케어 앱 개발_ 프론트엔드 & 백엔...,월급 240 만원 ~ 360 만원,경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,경기도 성남시 분당구,2025-04-30,2025-04-10,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
㈜에스테이트,[미래내일일경험] 영상편집/AI데이터 서비스 지원부분 직무 인턴 모...,회사내규에 따름,경력무관,대졸(4년),주5일,서울 금천구  등,등록일 : 2025-04-10,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,데이터 라벨링/AI보조
엠앤앤에이치㈜,유니티 언리얼 개발자 (주4일 근무 - 격주),회사내규에 따름,신입/경력,대졸(4년),기타,서울 성동구,2025-05-10,2025-04-10,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜엘트라글로벌,리눅스 서버클라이언트 개발자,"연봉 3,300 만원 ~ 4,500 만원",경력3년,대졸(4년),주5일,경기 성남시 중원구 등,2025-05-10,2025-04-10,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
포인드주식회사,포인드(주) 인공지능·딥러닝 개발자 채용 (신입),"연봉 3,000 만원 이상",신입,학력무관,주5일,경상북도 구미시 구미대로,2025-05-10,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
포인드주식회사,포인드(주) 인공지능·딥러닝 개발자 채용 (경력),"연봉 3,270 만원 이상",경력2년,학력무관,주5일,경상북도 구미시 구미대로,2025-05-10,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜문화상품권,문화상품권 - IT사업본부 IT보안팀 채용,회사내규에 따름,경력1년,대졸(4년),주5일,서울 강남구  등,2025-04-16,2025-04-10,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안 엔지니어
코오롱인더스트리㈜,2025년 코오롱인더스트리 경력사원 상반기 공개채용,회사내규에 따름,경력2년,대졸(4년),,서울 강서구  등,2025-04-22,2025-04-10,D-11,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜KT DS,[kt ds] 2025년 부문별 경력사원 상시채용,회사내규에 따름,경력,학력무관,,서울 서초구,2025-04-18,2025-04-10,D-7,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜위쥬테크,주차관제 시스템개발 경력직 채용,회사내규에 따름,경력5년,대졸(2~3년),주5일,경기 광명시  등,2025-05-10,2025-04-10,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
에너시스(주),임베디드 시스템 개발자,"연봉 3,000 만원 이상",경력무관,"대졸(2~3년)
														 ~ 석사",주5일,경기도 성남시 중원구,2025-06-08,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜편한가,풀스택 주니어 개발자 채용,회사내규에 따름,경력2년,대졸(2~3년),주5일,서울 강남구,2025-05-10,2025-04-10,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
(주)멕아이씨에스,프론트엔드 개발자 채용,월급 209 만원 이상,경력무관,대졸(4년),주5일,서울특별시 마포구 모래내로7길,2025-06-09,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 넥스텝,언리얼 엔진 기반의 라이다 솔루션 개발자 채용,"연봉 3,000 만원 ~ 4,000 만원",경력무관,대졸(4년),주5일,경기도 부천시 원미구,2025-06-08,2025-04-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 정안소프트,서버 프로그래머 모집 공고,"연봉 10,000 만원 ~ 12,000 만원",경력15년,학력무관,주5일,서울특별시 강남구 학동로,2025-04-30,2025-04-10,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,시스템 운영
공간제작소㈜,[공간제작소] [정규직] 2025년 각 부문별 채용,회사내규에 따름,신입/경력,학력무관,주5일,경기 화성시  등,등록일 : 2025-04-10,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
미래환경플랜건축사사무소,Front-end 경력 개발자[전문연구요원],회사내규에 따름,신입/경력,석사,,서울 강남구  등,2025-04-20,2025-04-10,D-9,https://www.work24.go.kr/wk/static/images/logo/rndJob.png,개발자
미래환경플랜건축사사무소,Back-end 경력 개발자[전문연구요원],회사내규에 따름,경력3년,석사,,서울 강남구  등,2025-04-20,2025-04-10,D-9,https://www.work24.go.kr/wk/static/images/logo/rndJob.png,개발자
(주)체스트넛,앱(iOS) 개발 신입 구인,"연봉 2,700 만원 ~ 2,800 만원",신입/경력1년,고졸,주5일,서울 금천구,등록일 : 2025-04-10,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,앱 개발자
주식회사 노블링크,"스마트헬스케어 키오스크 - 앱 개발 개발자 채용(신입,주임급)","연봉 2,600 만원 ~ 2,700 만원",경력1년,대졸(2~3년),주5일,경기 화성시,등록일 : 2025-04-10,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
주식회사 리안,Python React AI개발자 모집,"연봉 3,600 만원 ~ 4,000 만원",경력2년,학력무관,주5일,서울특별시 금천구 디지털로10길,2025-06-08,2025-04-09,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,AI개발자
주식회사 유닉트,마케팅 전략 기획 및 소프트웨어(SW) 개발,월급 220 만원 이상,경력무관,학력무관,주5일,경기도 양주시 옥정로6길,2025-06-08,2025-04-09,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기획/PM
잡코리아(유),[잡코리아] FE 개발 (5년 이상),회사내규에 따름,경력5년,학력무관,,서울 서초구,2025-04-27,2025-04-09,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
(주)신화유디텍,방송용장비 하드웨어 기술자,"연봉 5,000 만원 ~ 5,000 만원",경력5년,학력무관,주5일,경상남도 김해시 금관대로1073번길,2025-04-30,2025-04-09,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,HW/제어개발자
㈜잠바구니,숙박커뮤니티 플랫폼 (주)잠바구니 flutter 앱 개발자채용.,회사내규에 따름,신입/경력,학력무관,주5일,서울 강남구,2025-05-09,2025-04-09,D-28,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
티앤엠테크,티앤엠테크 시스템 유지보수 및 운영지원 Developer 채용,회사내규에 따름,경력3년,대졸(4년),주5일,서울 서초구,2025-05-09,2025-04-09,D-28,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
㈜신진금고,소프트웨어 프로그래머 채용,회사내규에 따름,경력5년,대졸(2~3년),주5일,경기 시흥시  등,2025-04-30,2025-04-09,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,소프트웨어 개발
